,roi,weight,network,weight_th
188,7Networks_RH_Vis_2,-3.187469131612605,Vis,1
189,7Networks_RH_Vis_3,-1.1848697141361488,Vis,0
190,7Networks_RH_Vis_4,-1.7516849847567988,Vis,0
191,7Networks_RH_Vis_5,-2.2668209512044637,Vis,0
192,7Networks_RH_Vis_6,-2.5521348200355494,Vis,0
193,7Networks_RH_Vis_7,-0.0653333776402863,Vis,0
194,7Networks_RH_Vis_8,-1.1742123878450834,Vis,0
195,7Networks_RH_Vis_9,-0.9026390881825341,Vis,0
196,7Networks_RH_Vis_10,-0.505639120196309,Vis,0
197,7Networks_RH_Vis_11,-2.0457008720341725,Vis,0
198,7Networks_RH_Vis_12,-2.4712929935345502,Vis,0
199,7Networks_RH_Vis_13,1.297528084987313,Vis,0
200,7Networks_RH_Vis_14,-1.6927201250711488,Vis,0
201,7Networks_RH_Vis_15,-2.2631923602133344,Vis,0
202,7Networks_RH_Vis_16,-0.834332989167486,Vis,0
203,7Networks_RH_Vis_17,-3.5666885532599597,Vis,1
204,7Networks_RH_Vis_18,-0.970697626377676,Vis,0
205,7Networks_RH_Vis_19,-1.4664129171277187,Vis,0
206,7Networks_RH_Vis_20,-2.0495916594744576,Vis,0
207,7Networks_RH_Vis_21,0.570791974848792,Vis,0
208,7Networks_RH_Vis_22,-0.2850928671045819,Vis,0
209,7Networks_RH_Vis_23,-1.4092235555415737,Vis,0
210,7Networks_RH_Vis_24,-0.8287727210760525,Vis,0
211,7Networks_RH_Vis_25,-1.5329766203151682,Vis,0
212,7Networks_RH_Vis_26,-1.1040899505898145,Vis,0
213,7Networks_RH_Vis_27,-0.5766041793768248,Vis,0
214,7Networks_RH_Vis_28,-0.5956791525407253,Vis,0
215,7Networks_RH_Vis_29,-0.5114825714020454,Vis,0
216,7Networks_RH_Vis_30,-0.807930830440015,Vis,0
217,7Networks_RH_SomMot_1,-0.5944647179004068,SomMot,0
218,7Networks_RH_SomMot_2,-0.5332468561784369,SomMot,0
219,7Networks_RH_SomMot_3,1.1966703870975492,SomMot,0
220,7Networks_RH_SomMot_4,1.5391948346992916,SomMot,0
221,7Networks_RH_SomMot_5,1.1413007097339611,SomMot,0
222,7Networks_RH_SomMot_6,2.3903664538174945,SomMot,0
223,7Networks_RH_SomMot_7,1.4505856500033196,SomMot,0
224,7Networks_RH_SomMot_8,-0.05169059178739147,SomMot,0
225,7Networks_RH_SomMot_9,2.610026983364116,SomMot,0
226,7Networks_RH_SomMot_10,2.639617858018575,SomMot,0
227,7Networks_RH_SomMot_11,3.1457301710126204,SomMot,1
228,7Networks_RH_SomMot_12,1.8149353360122196,SomMot,0
229,7Networks_RH_SomMot_13,2.8627433669493354,SomMot,0
230,7Networks_RH_SomMot_14,1.6107405247384177,SomMot,0
231,7Networks_RH_SomMot_15,3.7989297940248443,SomMot,1
232,7Networks_RH_SomMot_16,2.4702791610165082,SomMot,0
233,7Networks_RH_SomMot_17,2.070588630464468,SomMot,0
234,7Networks_RH_SomMot_18,2.9622191977369847,SomMot,0
235,7Networks_RH_SomMot_19,2.579619806304902,SomMot,0
236,7Networks_RH_SomMot_20,0.7971803188983402,SomMot,0
237,7Networks_RH_SomMot_21,2.8521526359855445,SomMot,0
238,7Networks_RH_SomMot_22,0.3617210780147065,SomMot,0
239,7Networks_RH_SomMot_23,3.606354655706978,SomMot,1
240,7Networks_RH_SomMot_24,3.290109352728987,SomMot,1
241,7Networks_RH_SomMot_25,1.630315957732695,SomMot,0
242,7Networks_RH_SomMot_26,2.9603774055196266,SomMot,0
243,7Networks_RH_SomMot_27,3.8494661868894586,SomMot,1
244,7Networks_RH_SomMot_28,1.980459138128811,SomMot,0
245,7Networks_RH_SomMot_29,2.5292331313326635,SomMot,0
246,7Networks_RH_SomMot_30,3.641142601553733,SomMot,1
247,7Networks_RH_SomMot_31,0.029747741661295145,SomMot,0
248,7Networks_RH_SomMot_32,3.795375628225002,SomMot,1
249,7Networks_RH_SomMot_33,1.278130900029793,SomMot,0
250,7Networks_RH_SomMot_34,3.666417832938186,SomMot,1
251,7Networks_RH_SomMot_35,2.5509927587272787,SomMot,0
252,7Networks_RH_SomMot_36,-0.6049815389235309,SomMot,0
253,7Networks_RH_SomMot_37,2.853113774344401,SomMot,0
254,7Networks_RH_SomMot_38,3.2817252249755744,SomMot,1
255,7Networks_RH_SomMot_39,3.7876146680220915,SomMot,1
256,7Networks_RH_SomMot_40,3.73140721382963,SomMot,1
257,7Networks_RH_DorsAttn_Post_1,-2.133792733042289,DorsAttn,0
258,7Networks_RH_DorsAttn_Post_2,-0.3761351126126097,DorsAttn,0
259,7Networks_RH_DorsAttn_Post_3,1.0553908247100614,DorsAttn,0
260,7Networks_RH_DorsAttn_Post_4,-1.6477441675431612,DorsAttn,0
261,7Networks_RH_DorsAttn_Post_5,-0.7626535803812842,DorsAttn,0
262,7Networks_RH_DorsAttn_Post_6,1.780572356153457,DorsAttn,0
263,7Networks_RH_DorsAttn_Post_7,1.2748742214207043,DorsAttn,0
264,7Networks_RH_DorsAttn_Post_8,1.335140361231235,DorsAttn,0
265,7Networks_RH_DorsAttn_Post_9,1.6138389361474814,DorsAttn,0
266,7Networks_RH_DorsAttn_Post_10,0.2397321211278869,DorsAttn,0
267,7Networks_RH_DorsAttn_Post_11,-0.8311678219305858,DorsAttn,0
268,7Networks_RH_DorsAttn_Post_12,1.0607153098883844,DorsAttn,0
269,7Networks_RH_DorsAttn_Post_13,2.7268489863671697,DorsAttn,0
270,7Networks_RH_DorsAttn_Post_14,-0.10619416332488382,DorsAttn,0
271,7Networks_RH_DorsAttn_Post_15,-0.3850910042367997,DorsAttn,0
272,7Networks_RH_DorsAttn_Post_16,1.3856163663709007,DorsAttn,0
273,7Networks_RH_DorsAttn_Post_17,1.0132587059723528,DorsAttn,0
274,7Networks_RH_DorsAttn_Post_18,0.3153627892754485,DorsAttn,0
275,7Networks_RH_DorsAttn_Post_19,2.6957422665180917,DorsAttn,0
276,7Networks_RH_DorsAttn_FEF_1,0.6272346353255669,DorsAttn,0
277,7Networks_RH_DorsAttn_FEF_2,0.06601411108477671,DorsAttn,0
278,7Networks_RH_DorsAttn_FEF_3,0.3545038090621785,DorsAttn,0
279,7Networks_RH_DorsAttn_PrCv_1,0.34843624513476384,DorsAttn,0
280,7Networks_RH_SalVentAttn_TempOccPar_1,0.16250685570167403,SalVentAttn,0
281,7Networks_RH_SalVentAttn_TempOccPar_2,1.4763822412422114,SalVentAttn,0
282,7Networks_RH_SalVentAttn_TempOccPar_3,-0.1859957771111335,SalVentAttn,0
283,7Networks_RH_SalVentAttn_TempOccPar_4,-0.6033244794363091,SalVentAttn,0
284,7Networks_RH_SalVentAttn_TempOccPar_5,0.14775322446166883,SalVentAttn,0
285,7Networks_RH_SalVentAttn_TempOccPar_6,0.8789890407754477,SalVentAttn,0
286,7Networks_RH_SalVentAttn_TempOccPar_7,-0.3472278783952676,SalVentAttn,0
287,7Networks_RH_SalVentAttn_PrC_1,1.835088266070084,SalVentAttn,0
288,7Networks_RH_SalVentAttn_FrOperIns_1,1.907798344766023,SalVentAttn,0
289,7Networks_RH_SalVentAttn_FrOperIns_2,0.4656811948046461,SalVentAttn,0
290,7Networks_RH_SalVentAttn_FrOperIns_3,0.8005595716026798,SalVentAttn,0
291,7Networks_RH_SalVentAttn_FrOperIns_4,1.6475515419339362,SalVentAttn,0
